1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
15,54;221,50;2201,27;5186,28;12547;14137;15787;30,04;42,01;52,72;70,33;72,56;73,90;93,41;115,77;131,67;139,49;174,86;185,60;197,64;234,49;248,47;244,55;272,28;314,94;315,02;320,34;330,58;350,05;361,04;416,46;484,17;519,83
14,38;260,00;2672,81;6579,38;15053;16810;19055;33,99;43,37;58,45;79,22;80,98;82,42;110,47;131,64;142,00;149,02;189,42;193,66;198,35;210,89;220,09;214,18;272,36;271,08;264,32;255,87;275,26;264,55;269,14;311,84;307,92;344,82
13,57;194,76;2238,98;5677,09;11587;13815;16061;30,74;39,28;48,80;56,92;58,38;69,32;69,94;81,35;78,37;88,20;99,94;103,01;105,14;103,57;117,26;107,03;136,14;133,73;138,49;126,29;151,27;143,13;145,55;183,54;178,22;227,58
17,00;271,00;3351,30;8984,10;20016;22859;26767;43,81;61,56;77,97;96,01;101,57;106,66;129,94;142,85;153,94;166,96;207,81;223,64;235,96;270,28;288,23;302,94;310,54;344,81;351,27;360,88;382,98;399,37;406,84;450,57;480,16;513,77
8,87;163,90;1165,48;2991,46;6692;7375;7811;15,50;18,16;19,52;24,07;26,55;28,18;32,04;37,01;40,10;43,13;54,03;60,29;63,79;70,35;75,22;79,33;94,42;117,04;121,37;125,21;130,13;139,47;153,50;167,04;580,06;603,15
2,32;129,50;1088,73;3675,17;8325;9398;9912;18,93;23,83;29,54;36,57;40,39;42,99;48,68;55,76;58,69;62,82;71,88;78,66;79,22;86,79;85,67;90,79;110,65;138,16;147,68;153,03;152,14;170,13;181,08;192,61;207,56;227,37
5,72;272,60;2598,96;7495,95;17488;19912;21402;32,13;47,89;61,22;75,98;87,99;93,15;107,99;130,65;144,92;154,98;181,35;203,35;215,55;247,73;247,61;252,52;292,21;352,58;382,54;388,83;398,24;424,54;453,54;525,66;597,77;629,34
3,91;120,00;1040,71;3211,18;8050;8540;8468;13,85;19,96;21,15;25,08;25,11;25,67;27,61;30,79;32,28;35,20;41,29;48,15;51,46;53,95;57,76;60,50;70,12;91,94;103,94;109,09;113,71;119,69;135,03;156,01;534,69;548,64
12,24;413,00;2912,58;12984,99;20075;22968;23238;64,44;66,83;69,12;71,73;80,08;87,96;93,96;102,42;109,71;155,10;175,54;191,68;239,55;256,48;260,84;308,92;357,54;397,75;477,13;528,83;553,02;613,39;638,69;719,21;835,77;862,87
5,48;190,00;1364,90;5306,54;10460;8412;9589;23,43;25,74;23,20;33,07;35,76;38,16;39,10;40,06;39,41;60,26;74,32;58,06;72,60;76,79;78,51;75,47;78,09;107,62;110,10;100,16;101,51;98,57;124,94;136,33;132,94;129,59
